m2_price,square,rooms,micro_district,district,floor,floors,Day,Month,Year,building_type,Construction_year,condition,price
1212,33,1,11,1,4,4,4,2,2023,2,2022,4,40000
1220,78,2,83,1,5,18,4,2,2023,2,2025,1,95160
910,56,2,51,5,4,11,4,2,2023,2,2016,1,51415
820,79,2,83,1,4,12,4,2,2023,2,2021,1,65108
880,125,3,83,1,11,12,4,2,2023,2,2019,1,110000
850,103,3,29,1,3,12,4,2,2023,2,2022,1,87550
950,80,2,83,1,11,12,4,2,2023,2,2021,1,76000
969,16,1,86,1,3,4,4,2,2023,1,2021,2,15500
840,86,2,83,1,4,12,4,2,2023,1,2021,1,72240
1220,122,3,83,1,4,12,4,2,2023,1,2021,5,148840
798,47,1,69,1,2,12,4,2,2023,2,2021,1,37500
750,135,3,83,1,7,14,4,2,2023,2,2022,1,101250
1125,60,3,51,5,2,10,4,2,2023,2,2022,2,67500
1245,47,2,83,1,3,10,4,2,2023,1,2022,1,58500
1212,33,1,11,1,4,4,4,2,2023,1,2022,3,40000
919,80,2,54,5,3,10,4,2,2023,1,2022,2,73500
1261,44,1,4,1,10,13,4,2,2023,2,2021,3,55500
1092,76,2,37,4,8,10,4,2,2023,2,2021,3,83000
1143,70,2,86,1,8,10,4,2,2023,2,2013,3,80000
857,70,3,106,5,6,6,4,2,2023,1,2019,3,60000
593,43,1,127,3,5,5,4,2,2023,2,2023,3,25500
1420,44,2,104,3,8,10,4,2,2023,2,2020,3,62500
850,62,2,54,5,9,14,4,2,2023,2,2019,3,52700
1102,64,2,34,5,7,10,4,2,2023,2,2019,3,70500
1029,103,3,83,1,11,16,4,2,2023,2,2023,1,106000
810,110,3,83,1,6,14,4,2,2023,2,2022,1,89500
781,70,2,83,1,14,14,4,2,2023,2,2022,1,54500
820,120,3,83,1,8,8,4,2,2023,2,2022,1,98400
1129,93,3,64,3,9,10,4,2,2023,2,2014,3,105000
818,99,3,49,5,3,14,4,2,2023,2,2023,1,81000
1651,43,1,83,1,4,12,4,2,2023,2,2019,3,71000
844,41,1,47,3,5,9,4,2,2023,1,2022,1,34600
838,80,3,92,4,10,10,4,2,2023,1,2022,1,67000
1023,44,1,7,1,7,9,4,2,2023,3,2022,1,45000
